id,input_json,ground_truth,premise,hypothesis,id_m,amr_p,amr_h,response,response_final,pred
ldc_slang_012_para,"{""premise"": ""Sounds like you've got your OWN little death panel going on."", ""hypothesis"": ""Sounds like you've got your OWN little group deciding who gets healthcare going on.""}",1,Sounds like you've got your OWN little death panel going on.,Sounds like you've got your OWN little group deciding who gets healthcare going on.,ldc_slang_012,"(s / sound-01~0
    :ARG2 (h / have-03~4
        :ARG0 (y / you~2)
        :ARG1 (g3 / group~8
            :ARG0-of (d / decide-01~9
                :ARG1 (p / person~10
                    :ARG0-of (g / get-01~11
                        :ARG1 (h2 / healthcare~12))
                    :ARG1-of (g2 / go-on-15~13)))
            :mod (l / little~7)
            :poss y)))
","(s / sound-01~0
    :ARG2 (h / have-03~4
        :ARG0 (y / you~2)
        :ARG1 (p / panel~9
            :ARG1-of (g / go-on-15~10)
            :mod (d / die-01~8)
            :mod (l / little~7)
            :poss y)))
","No

Explanation: The two sentences are not exact paraphrases of each other. While both sentences convey the idea of someone having control over healthcare decisions, the specific terms used in each sentence differ. In sentence 1, the term ""little death panel"" is used, while in sentence 2, the term ""little group deciding who gets healthcare"" is used. These differences in terminology indicate that the sentences are not exact paraphrases.","No

Explanation: The two sentences are not exact paraphrases of each other. While both sentences convey the idea of someone having control over healthcare decisions, the specific terms used in each sentence differ. In sentence 1, the term ""little death panel"" is used, while in sentence 2, the term ""little group deciding who gets healthcare"" is used. These differences in terminology indicate that the sentences are not exact paraphrases.",0.0
ldc_slang_012_nonpara,"{""premise"": ""Sounds like you've got your OWN little death panel going on."", ""hypothesis"": ""Sounds like you've got your OWN little board made of death going on.""}",0,Sounds like you've got your OWN little death panel going on.,Sounds like you've got your OWN little board made of death going on.,ldc_slang_012,"(s / sound-01~0
    :ARG2 (h / have-03~4
        :ARG0 (y / you~2)
        :ARG1 (b / board~8
            :ARG1-of (m / make-01~9
                :ARG2 (d / die-01~11))
            :ARG1-of (g / go-on-15~12)
            :mod (l / little~7)
            :poss y)))
","(s / sound-01~0
    :ARG2 (h / have-03~4
        :ARG0 (y / you~2)
        :ARG1 (p / panel~9
            :ARG1-of (g / go-on-15~10)
            :mod (d / die-01~8)
            :mod (l / little~7)
            :poss y)))
","No

Explanation: The sentences are not exact paraphrases of each other. While both sentences convey the idea of someone having their own group or panel related to death, the specific wording and structure of the sentences differ. In sentence 1, the term ""death panel"" is used, while in sentence 2, the term ""board made of death"" is used. These differences in wording make the sentences not exact paraphrases of each other.","No

Explanation: The sentences are not exact paraphrases of each other. While both sentences convey the idea of someone having their own group or panel related to death, the specific wording and structure of the sentences differ. In sentence 1, the term ""death panel"" is used, while in sentence 2, the term ""board made of death"" is used. These differences in wording make the sentences not exact paraphrases of each other.",0.0
ldc_slang_013_para,"{""premise"": ""should i be raising hell that they should be paying for those services themselves?"", ""hypothesis"": ""Should I be causing a big fuss that they should be paying for those services themselves?""}",1,should i be raising hell that they should be paying for those services themselves?,Should I be causing a big fuss that they should be paying for those services themselves?,ldc_slang_013,"(r / recommend-01~0
    :ARG1 (c / cause-01~3
        :ARG0 (i / i~1)
        :ARG1 (f / fuss-01~6
            :ARG0 i
            :ARG1 (r2 / recommend-01~9
                :ARG1 (p / pay-01~11
                    :ARG0 (t / they~8)
                    :ARG3 (s / serve-02~14
                        :mod (t2 / this~13))))
            :mod (b / big~5)))
    :polarity (a / amr-unknown~16))
","(r2 / recommend-01~0
    :ARG1 (r / raise-01~3
        :ARG0 (i / i~1)
        :ARG1 (h / hell~4)
        :topic (r3 / recommend-01~7
            :ARG1 (p / pay-01~9
                :ARG0 (t / they~6)
                :ARG3 (s / serve-02~12
                    :mod (t2 / this~11)))))
    :polarity (a / amr-unknown~14))
","No

Explanation: The sentences are not exact paraphrases of each other. While they convey a similar meaning, there are some differences in wording and phrasing. Sentence 1 uses the phrase ""raising hell"" while sentence 2 uses ""causing a big fuss."" Additionally, sentence 1 uses the word ""should"" twice, while sentence 2 only uses it once. These differences in wording make the sentences not exact paraphrases of each other.","No

Explanation: The sentences are not exact paraphrases of each other. While they convey a similar meaning, there are some differences in wording and phrasing. Sentence 1 uses the phrase ""raising hell"" while sentence 2 uses ""causing a big fuss."" Additionally, sentence 1 uses the word ""should"" twice, while sentence 2 only uses it once. These differences in wording make the sentences not exact paraphrases of each other.",0.0
ldc_slang_013_nonpara,"{""premise"": ""should i be raising hell that they should be paying for those services themselves?"", ""hypothesis"": ""Should I be elevating the underworld that they should be paying for those services themselves?""}",0,should i be raising hell that they should be paying for those services themselves?,Should I be elevating the underworld that they should be paying for those services themselves?,ldc_slang_013,"(r / recommend-01~0
    :ARG1 (e / elevate-01~3
        :ARG0 (i / i~1)
        :ARG1 (u / underworld~5
            :ARG1-of (p / pay-01~10
                :ARG0 (t / they~7)
                :ARG1-of (r2 / recommend-01~8)
                :ARG3 (s / serve-02~13
                    :mod (t2 / this~12)))))
    :polarity (a / amr-unknown~15))
","(r2 / recommend-01~0
    :ARG1 (r / raise-01~3
        :ARG0 (i / i~1)
        :ARG1 (h / hell~4)
        :topic (r3 / recommend-01~7
            :ARG1 (p / pay-01~9
                :ARG0 (t / they~6)
                :ARG3 (s / serve-02~12
                    :mod (t2 / this~11)))))
    :polarity (a / amr-unknown~14))
","No

Explanation: The sentences are not paraphrases of each other because they have different words and phrases. In sentence 1, the phrase ""raising hell"" is used, while in sentence 2, the phrase ""elevating the underworld"" is used. Additionally, the meaning of the two sentences is different. Sentence 1 suggests questioning whether the speaker should be causing trouble or making a fuss about someone else paying for services, while sentence 2 suggests questioning whether the speaker should be promoting or glorifying the underworld in relation to someone else paying for services.","No

Explanation: The sentences are not paraphrases of each other because they have different words and phrases. In sentence 1, the phrase ""raising hell"" is used, while in sentence 2, the phrase ""elevating the underworld"" is used. Additionally, the meaning of the two sentences is different. Sentence 1 suggests questioning whether the speaker should be causing trouble or making a fuss about someone else paying for services, while sentence 2 suggests questioning whether the speaker should be promoting or glorifying the underworld in relation to someone else paying for services.",0.0
ldc_slang_014_para,"{""premise"": ""Now there's some skills I can take to the bank, eh?"", ""hypothesis"": ""Now there's some skills I can absolutely rely on, eh?""}",1,"Now there's some skills I can take to the bank, eh?","Now there's some skills I can absolutely rely on, eh?",ldc_slang_014,"(r / rely-01~8
    :ARG0 (i / i~5)
    :ARG1 (s / skill~4
        :mod (s2 / some~3))
    :ARG1-of (r2 / request-confirmation-91~12)
    :degree (a / absolute~7)
    :time (n / now~0))
","(p / possible-01~6
    :ARG1 (t / take-01~7
        :ARG0 (i / i~5)
        :ARG1 (s / skill~4
            :mod (s2 / some~3))
        :ARG3 (b / bank~10))
    :ARG1-of (r / request-confirmation-91~13)
    :time (n / now~0))
","No.

Explanation: While both sentences convey a similar meaning, they are not exact paraphrases of each other. Sentence 1 implies that the skills mentioned can be monetarily beneficial, while sentence 2 implies that the skills can be relied upon. The addition of the word ""absolutely"" in sentence 2 also adds emphasis to the reliability of the skills, which is not present in sentence 1.","No.

Explanation: While both sentences convey a similar meaning, they are not exact paraphrases of each other. Sentence 1 implies that the skills mentioned can be monetarily beneficial, while sentence 2 implies that the skills can be relied upon. The addition of the word ""absolutely"" in sentence 2 also adds emphasis to the reliability of the skills, which is not present in sentence 1.",0.0
ldc_slang_014_nonpara,"{""premise"": ""Now there's some skills I can take to the bank, eh?"", ""hypothesis"": ""Now there's some skills I can carry to the financial institution, eh?""}",0,"Now there's some skills I can take to the bank, eh?","Now there's some skills I can carry to the financial institution, eh?",ldc_slang_014,"(p / possible-01~6
    :ARG1 (c / carry-01~7
        :ARG0 (i / i~5)
        :ARG1 (s / skill~4
            :mod (s2 / some~3))
        :ARG4 (i2 / institution~11
            :mod (f / financial~10)))
    :ARG1-of (r / request-confirmation-91~14)
    :time (n / now~0))
","(p / possible-01~6
    :ARG1 (t / take-01~7
        :ARG0 (i / i~5)
        :ARG1 (s / skill~4
            :mod (s2 / some~3))
        :ARG3 (b / bank~10))
    :ARG1-of (r / request-confirmation-91~13)
    :time (n / now~0))
","No, the sentences are not paraphrases of each other. While both sentences convey the idea of having skills that can be utilized, they differ in the choice of words. In sentence 1, the phrase ""take to the bank"" is used, which is a common idiom meaning to have confidence in something. In sentence 2, the phrase ""carry to the financial institution"" is used, which is a literal interpretation of the idiom. Therefore, the sentences have a similar meaning but are not exact paraphrases.","No, the sentences are not paraphrases of each other. While both sentences convey the idea of having skills that can be utilized, they differ in the choice of words. In sentence 1, the phrase ""take to the bank"" is used, which is a common idiom meaning to have confidence in something. In sentence 2, the phrase ""carry to the financial institution"" is used, which is a literal interpretation of the idiom. Therefore, the sentences have a similar meaning but are not exact paraphrases.",0.0
ldc_slang_015_para,"{""premise"": ""Mr Blair had to stand there as if he were in the stocks and the village idiot had arrived with a basket of rotten fruit."", ""hypothesis"": ""Mr Blair had to stand there as if he were in a medieval punishment device and the village idiot had arrived with a basket of rotten fruit.""}",1,Mr Blair had to stand there as if he were in the stocks and the village idiot had arrived with a basket of rotten fruit.,Mr Blair had to stand there as if he were in a medieval punishment device and the village idiot had arrived with a basket of rotten fruit.,ldc_slang_015,"(o / obligate-01~2
    :ARG1 (p / person~1
        :name (n / name~0
            :op1 ""Mr""~0
            :op2 ""Blair""~1))
    :ARG2 (s / stand-01~4
        :ARG1 p
        :ARG1-of (r / resemble-01~6
            :ARG2 (a / and~15
                :op1 (b2 / be-located-at-91~10
                    :ARG1 p
                    :ARG2 (d / device~14
                        :ARG3-of (p2 / punish-01~13)
                        :mod (m / medieval~12)))
                :op2 (a2 / arrive-01~20
                    :ARG1 (i / idiot~18
                        :ARG0-of (h / have-03~21
                            :ARG1 (b / basket~23
                                :part (f / fruit~26
                                    :ARG1-of (r2 / rot-01~25))))
                        :mod (v / village~17)))))
        :location (t / there~5)))
","(o / obligate-01~2
    :ARG1 (p / person~1
        :name (n / name~0
            :op1 ""Mr""~0
            :op2 ""Blair""~1))
    :ARG2 (s / stand-01~4
        :ARG1 p
        :ARG1-of (r / resemble-01~6
            :ARG2 (a / and~13
                :op1 (b2 / be-located-at-91~10
                    :ARG1 p
                    :ARG2 (s2 / stock~12))
                :op2 (a2 / arrive-01~18
                    :ARG1 (i / idiot~16
                        :ARG0-of (h / have-03~19
                            :ARG1 (b / basket~21
                                :part (f / fruit~24
                                    :ARG1-of (r2 / rot-01~23))))
                        :mod (v / village~15)))))
        :location (t / there~5)))
","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning that Mr Blair had to stand in an embarrassing and humiliating situation, as if he were being publicly punished, while the village idiot arrived with a basket of rotten fruit. The only difference between the sentences is the use of the phrase ""in the stocks"" in Sentence 1 and ""in a medieval punishment device"" in Sentence 2, but both phrases convey the same idea of a public punishment. Therefore, the sentences can be considered as paraphrases.","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning that Mr Blair had to stand in an embarrassing and humiliating situation, as if he were being publicly punished, while the village idiot arrived with a basket of rotten fruit. The only difference between the sentences is the use of the phrase ""in the stocks"" in Sentence 1 and ""in a medieval punishment device"" in Sentence 2, but both phrases convey the same idea of a public punishment. Therefore, the sentences can be considered as paraphrases.",1.0
ldc_slang_015_nonpara,"{""premise"": ""Mr Blair had to stand there as if he were in the stocks and the village idiot had arrived with a basket of rotten fruit."", ""hypothesis"": ""Mr Blair had to stand there as if he were in the shares of a company and the village idiot had arrived with a basket of rotten fruit.""}",0,Mr Blair had to stand there as if he were in the stocks and the village idiot had arrived with a basket of rotten fruit.,Mr Blair had to stand there as if he were in the shares of a company and the village idiot had arrived with a basket of rotten fruit.,ldc_slang_015,"(o / obligate-01~2
    :ARG1 (p / person~1
        :name (n / name~0
            :op1 ""Mr""~0
            :op2 ""Blair""~1))
    :ARG2 (s2 / stand-01~4
        :ARG1 p
        :ARG1-of (r / resemble-01~6
            :ARG2 (a / and~16
                :op1 (b2 / be-located-at-91~10
                    :ARG1 p
                    :ARG2 (s / share~12
                        :poss (c / company~15)))
                :op2 (a2 / arrive-01~21
                    :ARG1 (i / idiot~19
                        :ARG0-of (h / have-03~22
                            :ARG1 (b / basket~24
                                :part (f / fruit~27
                                    :ARG1-of (r2 / rot-01~26))))
                        :mod (v / village~18)))))
        :location (t / there~5)))
","(o / obligate-01~2
    :ARG1 (p / person~1
        :name (n / name~0
            :op1 ""Mr""~0
            :op2 ""Blair""~1))
    :ARG2 (s / stand-01~4
        :ARG1 p
        :ARG1-of (r / resemble-01~6
            :ARG2 (a / and~13
                :op1 (b2 / be-located-at-91~10
                    :ARG1 p
                    :ARG2 (s2 / stock~12))
                :op2 (a2 / arrive-01~18
                    :ARG1 (i / idiot~16
                        :ARG0-of (h / have-03~19
                            :ARG1 (b / basket~21
                                :part (f / fruit~24
                                    :ARG1-of (r2 / rot-01~23))))
                        :mod (v / village~15)))))
        :location (t / there~5)))
","No

Explanation: The sentences are not exact paraphrases of each other. In Sentence 1, the phrase ""as if he were in the stocks"" implies that Mr Blair is being publicly humiliated or punished. In Sentence 2, the phrase ""as if he were in the shares of a company"" implies that Mr Blair is being scrutinized or judged. These two phrases have different meanings and therefore the sentences cannot be considered exact paraphrases.","No

Explanation: The sentences are not exact paraphrases of each other. In Sentence 1, the phrase ""as if he were in the stocks"" implies that Mr Blair is being publicly humiliated or punished. In Sentence 2, the phrase ""as if he were in the shares of a company"" implies that Mr Blair is being scrutinized or judged. These two phrases have different meanings and therefore the sentences cannot be considered exact paraphrases.",0.0
ldc_slang_016_para,"{""premise"": ""Lets just hope in future folks get it right before they open mouth and insert foot and fire someone without verifying the story."", ""hypothesis"": ""Let's just hope in future folks get it right before they make a foolish statement and fire someone without verifying the story.""}",1,Lets just hope in future folks get it right before they open mouth and insert foot and fire someone without verifying the story.,Let's just hope in future folks get it right before they make a foolish statement and fire someone without verifying the story.,ldc_slang_016,"(h / hope-01~3
    :ARG0 (w / we~0)
    :ARG1 (g / get-04~7
        :ARG0 (f2 / folk~6)
        :ARG1 (r / right-06~9
            :ARG1 (i / it~8))
        :time (f4 / future~5)
        :time (b / before~10
            :op1 (a / and~16
                :op1 (m / make-01~12
                    :ARG0 f2
                    :ARG1 (t / thing~15
                        :ARG1-of (s2 / state-01~15
                            :ARG0 f2)
                        :mod (f3 / foolish~14)))
                :op2 (f / fire-02~17
                    :ARG0 f2
                    :ARG1 (s / someone~18)
                    :manner (v / verify-01~20
                        :ARG0 f2
                        :ARG1 (s3 / story~22)
                        :polarity -~19)))))
    :mod (j / just~2))
","(h / hope-01~2
    :ARG0 (w / we~0)
    :ARG1 (g / get-04~6
        :ARG0 (f2 / folk~5)
        :ARG1 (r / right-06~8
            :ARG1 (i2 / it~7))
        :time (f4 / future~4)
        :time (b / before~9
            :op1 (a / and~13
                :op1 (o / open-01~11
                    :ARG0 f2
                    :ARG1 (m / mouth~12))
                :op2 (i / insert-01~14
                    :ARG0 f2
                    :ARG1 (f3 / foot~15)
                    :ARG2 m)
                :op3 (f / fire-02~17
                    :ARG0 f2
                    :ARG1 (s / someone~18)
                    :manner (v / verify-01~20
                        :ARG0 f2
                        :ARG1 (s2 / story~22)
                        :polarity -~19)))))
    :mod (j / just~1))
","Yes

Explanation: The two sentences have the same meaning but are expressed using slightly different words and phrases. Both sentences convey the idea of hoping that people will be more careful before speaking and taking action without verifying the truth of a story. The use of ""open mouth and insert foot"" in Sentence 1 is paraphrased as ""make a foolish statement"" in Sentence 2. Overall, the sentences have the same meaning and convey the same message, making them paraphrases of each other.","Yes

Explanation: The two sentences have the same meaning but are expressed using slightly different words and phrases. Both sentences convey the idea of hoping that people will be more careful before speaking and taking action without verifying the truth of a story. The use of ""open mouth and insert foot"" in Sentence 1 is paraphrased as ""make a foolish statement"" in Sentence 2. Overall, the sentences have the same meaning and convey the same message, making them paraphrases of each other.",1.0
ldc_slang_016_nonpara,"{""premise"": ""Lets just hope in future folks get it right before they open mouth and insert foot and fire someone without verifying the story."", ""hypothesis"": ""Let's just hope in future folks get it right before they place their foot in their mouth and fire someone without verifying the story.""}",0,Lets just hope in future folks get it right before they open mouth and insert foot and fire someone without verifying the story.,Let's just hope in future folks get it right before they place their foot in their mouth and fire someone without verifying the story.,ldc_slang_016,"(h / hope-01~3
    :ARG0 (w / we~0)
    :ARG1 (g / get-04~7
        :ARG0 (f2 / folk~6
            :part (f3 / foot~14)
            :part (m / mouth~17))
        :ARG1 (r / right-06~9
            :ARG1 (i / it~8))
        :time (f4 / future~5)
        :time (b / before~10
            :op1 (a / and~18
                :op1 (p / place-01~12
                    :ARG0 f2
                    :ARG1 f3
                    :ARG2 m)
                :op2 (f / fire-02~19
                    :ARG0 f2
                    :ARG1 (s / someone~20)
                    :manner (v / verify-01~22
                        :ARG0 f2
                        :ARG1 (s2 / story~24)
                        :polarity -~21)))))
    :mod (j / just~2))
","(h / hope-01~2
    :ARG0 (w / we~0)
    :ARG1 (g / get-04~6
        :ARG0 (f2 / folk~5)
        :ARG1 (r / right-06~8
            :ARG1 (i2 / it~7))
        :time (f4 / future~4)
        :time (b / before~9
            :op1 (a / and~13
                :op1 (o / open-01~11
                    :ARG0 f2
                    :ARG1 (m / mouth~12))
                :op2 (i / insert-01~14
                    :ARG0 f2
                    :ARG1 (f3 / foot~15)
                    :ARG2 m)
                :op3 (f / fire-02~17
                    :ARG0 f2
                    :ARG1 (s / someone~18)
                    :manner (v / verify-01~20
                        :ARG0 f2
                        :ARG1 (s2 / story~22)
                        :polarity -~19)))))
    :mod (j / just~1))
","Yes

Explanation: The two sentences have the same meaning, but with slight variations in the wording. Both sentences convey the idea of hoping that people will be more careful before speaking and taking action without verifying the story. The phrases ""open mouth and insert foot"" and ""place their foot in their mouth"" are idiomatic expressions that mean the same thing. Therefore, the sentences can be considered paraphrases of each other.","Yes

Explanation: The two sentences have the same meaning, but with slight variations in the wording. Both sentences convey the idea of hoping that people will be more careful before speaking and taking action without verifying the story. The phrases ""open mouth and insert foot"" and ""place their foot in their mouth"" are idiomatic expressions that mean the same thing. Therefore, the sentences can be considered paraphrases of each other.",1.0
ldc_slang_017_para,"{""premise"": ""It's time we got this childish OWS out of the White House and put somebody responsible back at the helm."", ""hypothesis"": ""It's time we got this childish OWS out of the White House and put somebody responsible back in control.""}",1,It's time we got this childish OWS out of the White House and put somebody responsible back at the helm.,It's time we got this childish OWS out of the White House and put somebody responsible back in control.,ldc_slang_017,"(t2 / time~2
    :time-of (g / get-05~4
        :ARG0 (w / we~3)
        :ARG1 (p / person~18
            :mod (p2 / political-movement~7
                :name (n / name~7
                    :op1 ""OWS""~7))
            :mod (c / childish~6)
            :mod (t / this~5))
        :direction (o / out-of~8
            :op1 (g2 / government-organization~12
                :name (n2 / name~12
                    :op1 ""White""~11
                    :op2 ""House""~12))))
    :time-of (p3 / put-01~14
        :ARG0 w
        :ARG1 (s / somebody~15
            :ARG1-of (r / responsible-02~16))
        :ARG2 (c2 / control-01~19
            :ARG0 s)
        :direction (b / back~17)))
","(t2 / time~2
    :time-of (g / get-05~4
        :ARG0 (w / we~3)
        :ARG1 (p / person~18
            :mod (p2 / political-movement~7
                :name (n / name~7
                    :op1 ""OWS""~7))
            :mod (c / childish~6)
            :mod (t / this~5))
        :direction (o / out-of~8
            :op1 (g2 / government-organization~12
                :name (n2 / name~12
                    :op1 ""White""~11
                    :op2 ""House""~12))))
    :time-of (p3 / put-01~14
        :ARG0 w
        :ARG1 (s / somebody~15
            :ARG1-of (r / responsible-02~16))
        :ARG2 (h / helm~20)
        :direction (b / back~17)))
","Yes, the sentences are paraphrases of each other. Both sentences express the idea that the speaker believes it is time to remove the ""childish OWS"" from the White House and replace them with someone responsible. The only difference is the use of the phrase ""back at the helm"" in Sentence 1 and ""back in control"" in Sentence 2, but both phrases convey the same meaning of being in charge or in a position of authority.","Yes, the sentences are paraphrases of each other. Both sentences express the idea that the speaker believes it is time to remove the ""childish OWS"" from the White House and replace them with someone responsible. The only difference is the use of the phrase ""back at the helm"" in Sentence 1 and ""back in control"" in Sentence 2, but both phrases convey the same meaning of being in charge or in a position of authority.",1.0
ldc_slang_017_nonpara,"{""premise"": ""It's time we got this childish OWS out of the White House and put somebody responsible back at the helm."", ""hypothesis"": ""It's time we got this childish OWS out of the White House and put somebody responsible back at the steering wheel of a ship.""}",0,It's time we got this childish OWS out of the White House and put somebody responsible back at the helm.,It's time we got this childish OWS out of the White House and put somebody responsible back at the steering wheel of a ship.,ldc_slang_017,"(t2 / time~2
    :time-of (g / get-05~4
        :ARG0 (w / we~3)
        :ARG1 (p / person~18
            :mod (p2 / political-movement~7
                :name (n / name~7
                    :op1 ""OWS""~7))
            :mod (c / childish~6)
            :mod (t / this~5))
        :direction (o / out-of~8
            :op1 (g2 / government-organization~12
                :name (n2 / name~12
                    :op1 ""White""~11
                    :op2 ""House""~12))))
    :time-of (p3 / put-01~14
        :ARG0 w
        :ARG1 (s2 / somebody~15
            :ARG1-of (r / responsible-02~16))
        :ARG2 (w2 / wheel~21
            :instrument-of (s3 / steer-01~20
                :ARG1 (s / ship~24)))
        :direction (b / back~17)))
","(t2 / time~2
    :time-of (g / get-05~4
        :ARG0 (w / we~3)
        :ARG1 (p / person~18
            :mod (p2 / political-movement~7
                :name (n / name~7
                    :op1 ""OWS""~7))
            :mod (c / childish~6)
            :mod (t / this~5))
        :direction (o / out-of~8
            :op1 (g2 / government-organization~12
                :name (n2 / name~12
                    :op1 ""White""~11
                    :op2 ""House""~12))))
    :time-of (p3 / put-01~14
        :ARG0 w
        :ARG1 (s / somebody~15
            :ARG1-of (r / responsible-02~16))
        :ARG2 (h / helm~20)
        :direction (b / back~17)))
","No, the sentences are not paraphrases of each other. While both sentences express a desire to remove someone childish from a position of power and replace them with someone responsible, the specific wording and context differ. In Sentence 1, the focus is on removing someone from the White House and putting someone responsible back in charge. In Sentence 2, the focus is on removing someone from the White House and putting someone responsible back in control of a ship. The use of ""steering wheel of a ship"" in Sentence 2 introduces a different context and imagery, indicating that the sentences are not exact paraphrases.","No, the sentences are not paraphrases of each other. While both sentences express a desire to remove someone childish from a position of power and replace them with someone responsible, the specific wording and context differ. In Sentence 1, the focus is on removing someone from the White House and putting someone responsible back in charge. In Sentence 2, the focus is on removing someone from the White House and putting someone responsible back in control of a ship. The use of ""steering wheel of a ship"" in Sentence 2 introduces a different context and imagery, indicating that the sentences are not exact paraphrases.",0.0
ldc_slang_018_para,"{""premise"": ""It seems relatively easy to sponge of this country, you hear about people \""Making Up\"" children to get more money and they wonder why were in debt"", ""hypothesis"": ""It seems relatively easy to financially exploit this country, you hear about people \""Making Up\"" children to get more money and they wonder why we're in debt.""}",1,"It seems relatively easy to sponge of this country, you hear about people ""Making Up"" children to get more money and they wonder why were in debt","It seems relatively easy to financially exploit this country, you hear about people ""Making Up"" children to get more money and they wonder why we're in debt.",ldc_slang_018,"(a2 / and~9
    :op1 (s / seem-01~1
        :ARG1 (e / easy-05~3
            :ARG1 (e2 / exploit-01~6
                :ARG1 (c3 / country~8
                    :mod (t3 / this~7))
                :manner (f / financial~5))
            :ARG1-of (r / relative-05~2)
            :example (h / hear-01~11
                :ARG0 (y / you~10)
                :ARG1 (a / about~12
                    :op1 (m / make-up-10~15
                        :purpose (g / get-01~20
                            :ARG0 (p / person~13)
                            :ARG1 (m2 / money~22
                                :quant (m3 / more~21)))
                        :ARG0 p
                        :ARG1 (c2 / child~18))))))
    :op2 (w2 / wonder-01~25
        :ARG0 (t / they~24)
        :ARG1 (t2 / thing~26
            :ARG0-of (c / cause-01~26
                :ARG1 (b / be-located-at-91~29
                    :ARG1 (w / we~27)
                    :ARG2 (d / debt~30))))))
","(a2 / and~9
    :op1 (s / seem-01~1
        :ARG1 (e / easy-05~3
            :ARG1 (s2 / sponge-02~5
                :ARG2 (c3 / country~8
                    :mod (t3 / this~7)))
            :ARG1-of (r / relative-05~2)
            :example (h / hear-01~11
                :ARG0 (y / you~10)
                :ARG1 (a / about~12
                    :op1 (m / make-up-10~15
                        :purpose (g / get-01~20
                            :ARG0 (p / person~13)
                            :ARG1 (m2 / money~22
                                :quant (m3 / more~21)))
                        :ARG0 p
                        :ARG1 (c2 / child~18))))))
    :op2 (w / wonder-01~25
        :ARG0 (t / they~24)
        :ARG1 (t2 / thing~26
            :ARG0-of (c / cause-01~26
                :ARG1 (b / be-located-at-91~28
                    :ARG1 t
                    :ARG2 (d / debt~29))))))
","Yes

Explanation: The two sentences have the same meaning but are expressed using slightly different words and phrases. Both sentences convey the idea that it is easy to take advantage of the country's financial system by fabricating children to receive more money. Additionally, both sentences mention the consequence of this exploitation, which is the reason for the country's debt. Therefore, the sentences can be considered paraphrases of each other.","Yes

Explanation: The two sentences have the same meaning but are expressed using slightly different words and phrases. Both sentences convey the idea that it is easy to take advantage of the country's financial system by fabricating children to receive more money. Additionally, both sentences mention the consequence of this exploitation, which is the reason for the country's debt. Therefore, the sentences can be considered paraphrases of each other.",1.0
ldc_slang_018_nonpara,"{""premise"": ""It seems relatively easy to sponge of this country, you hear about people \""Making Up\"" children to get more money and they wonder why were in debt"", ""hypothesis"": ""It seems relatively easy to clean with this country, you hear about people \""Making Up\"" children to get more money and they wonder why we're in debt.""}",0,"It seems relatively easy to sponge of this country, you hear about people ""Making Up"" children to get more money and they wonder why were in debt","It seems relatively easy to clean with this country, you hear about people ""Making Up"" children to get more money and they wonder why we're in debt.",ldc_slang_018,"(a2 / and~9
    :op1 (s / seem-01~1
        :ARG1 (e / easy-05~3
            :ARG1 (c3 / clean-01~5)
            :ARG1-of (r / relative-05~2)
            :example (h / hear-01~11
                :ARG0 (y / you~10)
                :ARG1 (a / about~12
                    :op1 (m / make-up-10~15
                        :purpose (g / get-01~20
                            :ARG0 (p / person~13)
                            :ARG1 (m2 / money~22
                                :quant (m3 / more~21)))
                        :ARG0 p
                        :ARG1 (c2 / child~18))))
            :prep-with (c4 / country~8
                :mod (t3 / this~7))))
    :op2 (w2 / wonder-01~25
        :ARG0 (t / they~24)
        :ARG1 (t2 / thing~26
            :ARG0-of (c / cause-01~26
                :ARG1 (b / be-located-at-91~29
                    :ARG1 (w / we~27)
                    :ARG2 (d / debt~30))))))
","(a2 / and~9
    :op1 (s / seem-01~1
        :ARG1 (e / easy-05~3
            :ARG1 (s2 / sponge-02~5
                :ARG2 (c3 / country~8
                    :mod (t3 / this~7)))
            :ARG1-of (r / relative-05~2)
            :example (h / hear-01~11
                :ARG0 (y / you~10)
                :ARG1 (a / about~12
                    :op1 (m / make-up-10~15
                        :purpose (g / get-01~20
                            :ARG0 (p / person~13)
                            :ARG1 (m2 / money~22
                                :quant (m3 / more~21)))
                        :ARG0 p
                        :ARG1 (c2 / child~18))))))
    :op2 (w / wonder-01~25
        :ARG0 (t / they~24)
        :ARG1 (t2 / thing~26
            :ARG0-of (c / cause-01~26
                :ARG1 (b / be-located-at-91~28
                    :ARG1 t
                    :ARG2 (d / debt~29))))))
","No

Explanation: The sentences are not exact paraphrases of each other. While both sentences mention something being relatively easy in this country and people ""making up"" children to get more money, the first sentence talks about sponging off the country, while the second sentence talks about cleaning with the country. Additionally, the first sentence uses ""why were in debt"" instead of ""why we're in debt"" in the second sentence. These differences in wording and meaning indicate that the sentences are not exact paraphrases of each other.","No

Explanation: The sentences are not exact paraphrases of each other. While both sentences mention something being relatively easy in this country and people ""making up"" children to get more money, the first sentence talks about sponging off the country, while the second sentence talks about cleaning with the country. Additionally, the first sentence uses ""why were in debt"" instead of ""why we're in debt"" in the second sentence. These differences in wording and meaning indicate that the sentences are not exact paraphrases of each other.",0.0
